OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements,
00219300,MOUNT IDA COLLEGE,MA,024593323,Private-Nonprofit,232,250,3926181,443,3926181,
00219400,NEW ENGLAND CONSERVATORY OF MUSIC,MA,021155018,Private-Nonprofit,24,24,605890,47,605890,
00219700,NICHOLS COLLEGE,MA,015716346,Private-Nonprofit,277,316,4751728,545,4751728,
00219900,NORTHEASTERN UNIVERSITY,MA,021155000,Private-Nonprofit,716,914,14141065,1763,14141065,
00220100,PINE MANOR COLLEGE,MA,024672332,Private-Nonprofit,99,105,1038443,200,1038443,
00220200,BLESSED JOHN XXIII NATIONAL SEMINARY,MA,024932699,Private-Nonprofit,0,0,0,0,0,
00220500,QUINCY COLLEGE,MA,021694339,Public,9,9,59752,18,59752,
00220600,REGIS COLLEGE,MA,024931571,Private-Nonprofit,188,229,3254555,382,3254555,
00220800,SIMMONS COLLEGE,MA,021155898,Private-Nonprofit,209,225,4198840,411,4198840,
00220900,TRUSTEES OF THE SMITH COLLEGE,MA,010632936,Private-Nonprofit,180,196,3394956,367,3394956,
00221000,UNIVERSITY OF MASSACHUSETTS AT DARTMOUTH,MA,027472300,Public,802,885,8067428,1670,8067428,
00221100,SPRINGFIELD COLLEGE,MA,011093797,Private-Nonprofit,286,320,4797319,569,4797319,
00221400,SAINT JOHN'S SEMINARY,MA,021358839,Private-Nonprofit,0,0,0,0,0,
00221700,STONEHILL COLLEGE,MA,023576110,Private-Nonprofit,345,385,6860013,647,6860013,
00221800,SUFFOLK UNIVERSITY,MA,021082770,Private-Nonprofit,504,535,8749228,996,8749228,
00221900,TUFTS UNIVERSITY,MA,021555808,Private-Nonprofit,196,219,5238951,381,5238951,
00222100,UNIVERSITY OF MASSACHUSETTS - AMHERST,MA,010030000,Public,1398,1630,20773432,2666,20773432,
00222200,UNIVERSITY OF MASSACHUSETTS AT BOSTON,MA,021253393,Public,277,299,2400195,540,2400195,
00222400,WELLESLEY COLLEGE,MA,024818203,Private-Nonprofit,91,102,2589307,183,2589307,
00222500,WENTWORTH INSTITUTE OF TECHNOLOGY,MA,021155998,Private-Nonprofit,444,545,10018169,877,10018169,
00222600,WESTERN NEW ENGLAND UNIVERSITY,MA,011192654,Private-Nonprofit,463,503,8145417,969,8145417,
00222700,WHEATON COLLEGE,MA,027662322,Private-Nonprofit,191,196,3495174,360,3495174,
00222800,WHEELOCK COLLEGE,MA,022154176,Private-Nonprofit,145,167,2668461,314,2668461,
00222900,WILLIAMS COLLEGE,MA,012672600,Private-Nonprofit,106,119,2651192,205,2651192,
00223300,WORCESTER POLYTECHNIC INST,MA,016092280,Private-Nonprofit,331,364,7515278,643,7515278,
00223400,ADRIAN COLLEGE,MI,492212575,Private-Nonprofit,418,454,5866956,787,5866956,
00223500,ALBION COLLEGE,MI,492241831,Private-Nonprofit,227,232,3439008,415,3439008,
00223600,ALMA COLLEGE,MI,488011599,Private-Nonprofit,334,428,5012954,708,5012954,
00223700,ALPENA COMMUNITY COLLEGE,MI,497071495,Public,15,16,77142,30,77142,
00223800,ANDREWS UNIVERSITY,MI,491040750,Private-Nonprofit,301,350,4536966,592,4536966,
00223900,AQUINAS COLLEGE,MI,495061801,Private-Nonprofit,193,215,1849618,369,1849618,
00224000,BAY DE NOC COMMUNITY COLLEGE,MI,498292524,Public,2,2,18819,16,18819,
00224100,CALVIN COLLEGE,MI,495464388,Private-Nonprofit,208,221,3204162,409,3204162,
00224200,CALVIN THEOLOGICAL SEMINARY,MI,495464387,Private-Nonprofit,0,0,0,0,0,
00224300,CENTRAL MICHIGAN UNIVERSITY,MI,488590001,Public,3544,3812,36543303,6758,36543303,
00224600,CLEARY UNIVERSITY,MI,488438566,Private-Nonprofit,32,38,234094,63,234094,
00224800,CRANBROOK ACADEMY OF ART,MI,483045162,Private-Nonprofit,0,0,0,0,0,
00224900,DAVENPORT UNIVERSITY,MI,495129396,Private-Nonprofit,376,463,4220986,737,4220986,
00225100,DELTA COLLEGE,MI,487100001,Public,14,14,73365,42,73365,
00225400,MICHIGAN STATE UNIVERSITY COLLEGE OF LAW,MI,488241300,Private-Nonprofit,0,0,0,0,0,
00225900,EASTERN MICHIGAN UNIVERSITY,MI,481972214,Public,2298,2467,18687528,4477,18687528,
00226000,FERRIS STATE UNIVERSITY,MI,493072251,Public,946,1074,9884915,1781,9884915,
00226100,CHARLES STEWART MOTT COMMUNITY COLLEGE,MI,485032089,Public,13,13,45846,25,45846,
00226200,KETTERING UNIVERSITY,MI,485046214,Private-Nonprofit,244,374,4008573,478,4008573,
00226300,GLEN OAKS COMMUNITY COLLEGE,MI,490329719,Public,0,0,0,0,0,
00226400,GOGEBIC COMMUNITY COLLEGE,MI,499381365,Public,6,6,38158,11,38158,
00226500,GRACE BIBLE COLLEGE,MI,495091998,Private-Nonprofit,49,49,469467,98,469467,
00226600,CORNERSTONE UNIVERSITY,MI,495255897,Private-Nonprofit,143,154,1741916,263,1741916,
00226700,GRAND RAPIDS COMMUNITY COLLEGE,MI,495033295,Public,52,61,285790,181,285790,
00226800,GRAND VALLEY ST UNIVERSITY,MI,494019403,Public,4199,4573,40628085,8374,40628085,
00226900,GREAT LAKES CHRISTIAN COLLEGE,MI,489171299,Private-Nonprofit,24,24,180492,77,180492,
00227000,HENRY FORD COLLEGE,MI,481281495,Public,6,7,26445,13,26445,
00227300,HOPE COLLEGE,MI,494233607,Private-Nonprofit,315,335,5420817,604,5420817,
00227400,JACKSON COLLEGE,MI,492018399,Public,46,50,261339,91,261339,
00227500,KALAMAZOO COLLEGE,MI,490063295,Private-Nonprofit,104,110,1997032,293,1997032,
00227600,KELLOGG COMMUNITY COLLEGE,MI,490173397,Public,3,3,17822,12,17822,
00227700,LAKE MICHIGAN COLLEGE,MI,490221899,Public,12,12,65055,23,65055,
00227800,LANSING COMMUNITY COLLEGE,MI,489331293,Public,210,213,1304674,650,1304674,
00227900,LAWRENCE TECHNOLOGICAL UNIVERSITY,MI,480751058,Private-Nonprofit,385,470,7673005,797,7673005,
00228200,MADONNA UNIVERSITY,MI,481501173,Private-Nonprofit,228,236,2491268,436,2491268,
00228400,MARYGROVE COLLEGE,MI,482212599,Private-Nonprofit,87,92,616570,170,616570,
00228800,ROCHESTER COLLEGE,MI,483072764,Private-Nonprofit,121,121,1360589,225,1360589,
00229000,MICHIGAN STATE UNIVERSITY,MI,488241113,Public,5242,6764,88126464,10969,88126464,
00229200,MICHIGAN TECHNOLOGICAL UNIV,MI,499311295,Public,550,613,7513636,1039,7513636,
00229300,LAKE SUPERIOR STATE UNIVERSITY,MI,497831691,Public,227,243,2112983,477,2112983,
00229400,MONROE COUNTY COMMUNITY COLLGE,MI,481619746,Public,5,5,24983,9,24983,
00229500,MONTCALM COMMUNITY COLLEGE,MI,488859723,Public,0,0,0,0,0,
