OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
02083600,TESST COLLEGE OF TECHNOLOGY,MD,207052698,PROPRIETARY,92,117,670796,182,651848
02127900,SOJOURNER-DOUGLASS COLLEGE,MD,212051898,PRIVATE,0,0,0,0,0
02155100,MARYLAND COLLEGE OF ART & DESIGN,MD,209024111,PRIVATE,14,14,123703,23,108553
02288900,ACCUTECH CAREER INSTITUTE,MD,217037337,PROPRIETARY,3,3,26460,9,26460
02314800,BALTIMORE INTERNATIONAL COLLEGE,MD,212023278,PRIVATE,123,159,1803485,291,1682104
02495000,ROBERT PAUL ACADEMY OF COSMETOLOGY ARTS & SCIENCES,MD,210935150,PROPRIETARY,5,5,12945,9,11550
02545400,NORTH AMERICAN TRADE SCHOOLS,MD,212440069,PROPRIETARY,21,21,83612,42,76032
02573800,L'ACADEMIE DE CUISINE,MD,208771414,PROPRIETARY,4,4,45652,6,41652
02578400,TAI SOPHIA INSTITUTE,MD,207236010,PRIVATE,0,0,0,0,0
03296300,BALTIMORE SCHOOL OF MASSAGE,MD,210902261,PROPRIETARY,5,5,17377,8,13967
03417300,MARYLAND INSTITUTE OF TRADITIONAL CHINESE MEDICINE,MD,208143431,PRIVATE,0,0,0,0,0
03493300,ALL-STATE CAREER,MD,212246658,PROPRIETARY,9,9,46987,18,44182
00203300,UNIVERSITY OF MAINE - PRESQUE ISLE,ME,047692888,PUBLIC,1,1,4400,2,4400
00203400,MID STATE COLLEGE,ME,042108888,PROPRIETARY,1,1,2000,2,2000
00203500,BANGOR THEOLOGICAL SEMINARY,ME,044020411,PRIVATE,0,0,0,0,0
00203600,BATES COLLEGE,ME,042406028,PRIVATE,193,197,3071396,352,3059180
00203800,BOWDOIN COLLEGE,ME,040118451,PRIVATE,194,205,2741987,377,2669964
00203900,COLBY COLLEGE,ME,049018840,PRIVATE,168,174,2948936,333,2882593
00204000,UNIVERSITY OF MAINE - FARMINGTON,ME,049381990,PUBLIC,113,119,596197,208,565237
00204100,UNIVERSITY OF MAINE - FORT KENT,ME,047431292,PUBLIC,17,17,92098,28,78964
00204300,HUSSON UNIVERSITY,ME,044012999,PRIVATE,117,125,824878,222,779075
00204400,MAINE MARITIME ACADEMY,ME,044200001,PUBLIC,67,70,549533,126,506532
00205000,UNIVERSITY OF NEW ENGLAND,ME,040059599,PRIVATE,162,172,1887521,305,1817077
00205100,SAINT JOSEPH'S COLLEGE,ME,040845263,PRIVATE,145,154,1271474,288,1221222
