unitid,"xscfa1n",scfa1n,"xscfa1p",scfa1p,"xscfa11n",scfa11n,"xscfa11p",scfa11p,"xscfa12n",scfa12n,"xscfa12p",scfa12p,"xscfa13n",scfa13n,"xscfa13p",scfa13p,"xscfa14n",scfa14n,"xscfa14p",scfa14p,"xscfa2",scfa2,"xscfy1n",scfy1n,"xscfy1p",scfy1p,"xscfy2",scfy2,"xanyaidn",anyaidn,"xanyaidp",anyaidp,"xfgrnt_n",fgrnt_n,"xfgrnt_p",fgrnt_p,"xfgrnt_a",fgrnt_a,"xsgrnt_n",sgrnt_n,"xsgrnt_p",sgrnt_p,"xsgrnt_a",sgrnt_a,"xigrnt_n",igrnt_n,"xigrnt_p",igrnt_p,"xigrnt_a",igrnt_a,"xloan_n",loan_n,"xloan_p",loan_p,"xloan_a",loan_a
189811,"R",9,"R",12,"B",,"B",,"B",,"B",,"B",,"B",,"R",9,"R",100,"R",75,"B",,"B",,"B",,"R",6,"R",67,"R",4,"R",44,"R",2277,"R",3,"R",33,"R",2228,"R",0,"R",0,"R",0,"R",4,"R",44,"R",5156
189839,"R",449,"R",17,"A",,"B",,"R",428,"R",95,"R",20,"R",4,"R",1,"R",0,"R",2715,"B",,"B",,"B",,"R",349,"R",78,"R",247,"R",55,"R",2057,"R",283,"R",63,"R",1359,"R",49,"R",11,"R",483,"R",189,"R",42,"R",2549
189848,"R",280,"R",29,"B",,"B",,"B",,"B",,"B",,"B",,"R",280,"R",100,"R",975,"B",,"B",,"B",,"R",234,"R",84,"R",54,"R",19,"R",2209,"R",24,"R",9,"R",4114,"R",199,"R",71,"R",3579,"R",81,"R",29,"R",5726
189857,"R",96,"R",25,"B",,"B",,"B",,"B",,"B",,"B",,"R",96,"R",100,"R",386,"B",,"B",,"B",,"R",90,"R",94,"R",90,"R",94,"R",3428,"R",0,"R",0,"R",0,"R",90,"R",94,"R",1416,"R",0,"R",0,"R",0
189954,"R",21,"R",100,"B",,"B",,"B",,"B",,"B",,"B",,"R",21,"R",100,"R",21,"B",,"B",,"B",,"R",21,"R",100,"R",21,"R",100,"R",1903,"R",19,"R",90,"R",924,"R",0,"R",0,"R",0,"R",16,"R",76,"R",2431
190008,"R",52,"R",60,"B",,"B",,"B",,"B",,"B",,"B",,"R",52,"R",100,"R",87,"B",,"B",,"B",,"R",35,"R",67,"R",35,"R",67,"R",5608,"R",0,"R",0,"R",0,"R",3,"R",6,"R",734,"R",0,"R",0,"R",0
190044,"R",707,"R",27,"B",,"B",,"B",,"B",,"B",,"B",,"R",707,"R",100,"R",2581,"B",,"B",,"B",,"R",617,"R",87,"R",189,"R",27,"R",2872,"R",361,"R",51,"R",2108,"R",592,"R",84,"R",11240,"R",574,"R",81,"R",5490
190053,"R",234,"R",14,"A",,"B",,"R",233,"R",100,"R",1,"R",0,"R",0,"R",0,"R",1624,"B",,"B",,"B",,"R",164,"R",70,"R",95,"R",41,"R",1178,"R",126,"R",54,"R",510,"R",18,"R",8,"R",258,"R",82,"R",35,"R",1308
190099,"R",750,"R",27,"B",,"B",,"B",,"B",,"B",,"B",,"R",750,"R",100,"R",2804,"B",,"B",,"B",,"R",333,"R",44,"R",82,"R",11,"R",3797,"R",171,"R",23,"R",2877,"R",311,"R",41,"R",18682,"R",260,"R",35,"R",2529
190114,"R",173,"R",16,"B",,"B",,"B",,"B",,"B",,"B",,"R",173,"R",100,"R",1055,"B",,"B",,"B",,"R",167,"R",97,"R",116,"R",67,"R",1386,"R",140,"R",81,"R",1532,"R",18,"R",10,"R",1021,"R",159,"R",92,"R",3827
190150,"R",1285,"R",17,"B",,"B",,"B",,"B",,"B",,"B",,"R",1285,"R",100,"R",7763,"B",,"B",,"B",,"R",681,"R",53,"R",131,"R",10,"R",4050,"R",135,"R",11,"R",3340,"R",530,"R",41,"R",16094,"R",548,"R",43,"R",3333
190169,"R",291,"R",17,"A",,"B",,"R",288,"R",99,"R",3,"R",1,"R",0,"R",0,"R",1663,"B",,"B",,"B",,"R",201,"R",69,"R",143,"R",49,"R",2580,"R",178,"R",61,"R",1389,"R",16,"R",5,"R",1420,"R",38,"R",13,"R",1963
190239,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",196,"R",62,"R",318,"R",162,"R",83,"R",149,"R",76,"R",2998,"R",1,"R",1,"H",,"R",0,"R",0,"R",0,"R",157,"R",80,"R",4576
190248,"R",122,"R",21,"B",,"B",,"B",,"B",,"B",,"B",,"R",122,"R",100,"R",578,"B",,"B",,"B",,"R",117,"R",96,"R",28,"R",23,"R",2885,"R",48,"R",39,"R",2827,"R",117,"R",96,"R",7083,"R",89,"R",73,"R",2471
190293,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",72,"R",55,"R",130,"R",64,"R",89,"R",61,"R",85,"R",3300,"R",2,"R",3,"H",,"R",0,"R",0,"R",0,"R",61,"R",85,"R",2625
190309,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"B",,"R",32,"R",62,"R",52,"R",29,"R",91,"R",28,"R",88,"R",3300,"R",1,"R",3,"H",,"R",0,"R",0,"R",0,"R",28,"R",88,"R",2625
