V6901,V6902,V7071,V7095,V7193,V7261,V7451,ER72001,ER72002,ER72022,ER72024,ER72164,ER72441,ER77631
3,437,0,1,1,1,32,,,,,,,
3,5503,0,1,0,5,29,,,,,,,
3,536,0,6,0,3,32,,,,,,,
3,1492,0,1,0,2,38,1,6897,0,1,1,6,41.85
,,,,,,,1,6428,0,2,6,0,70.095
,,,,,,,1,6178,0,3,4,0,75.228
,,,,,,,1,6472,9,1,1,1,21.945
,,,,,,,1,7546,0,2,1,0,37.183
,,,,,,,1,8027,0,2,1,0,45.829
3,3355,1,1,6,1,18,,,,,,,
,,,,,,,1,7549,1,1,1,1,20.32
,,,,,,,1,7357,1,1,1,1,19.908
,,,,,,,1,9604,0,1,1,1,18.895
,,,,,,,1,4944,1,1,1,6,54.711
3,6279,16,6,0,5,3,,,,,,,
3,2183,7,1,1,1,40,1,2923,0,1,5,4,88.833
,,,,,,,1,2964,13,1,1,1,53.481
,,,,,,,1,3417,10,1,1,1,52.222
3,3038,17,1,1,1,40,,,,,,,
,,,,,,,1,2580,0,1,4,1,32.293
3,3304,14,1,1,1,25,,,,,,,
,,,,,,,1,1261,0,2,1,0,50.51
,,,,,,,1,1220,13,4,1,1,14.817
3,5153,0,4,6,1,32,,,,,,,
3,2956,6,1,6,1,18,1,911,0,1,4,4,39.641
,,,,,,,1,738,3,1,1,1,14.954
3,2881,0,1,1,1,19,,,,,,,
,,,,,,,1,495,0,1,1,1,19.072
3,326,0,4,0,3,34,,,,,,,
3,637,1,1,6,1,22,1,846,0,1,4,1,48.354
,,,,,,,1,228,0,1,1,6,28.931
,,,,,,,1,658,0,2,1,1,27.022
,,,,,,,1,1021,1,1,1,1,18.769
,,,,,,,1,944,10,1,1,1,27.954
3,5558,0,6,0,1,34,,,,,,,
3,2616,0,4,6,1,31,,,,,,,
3,3095,1,1,6,1,16,,,,,,,
,,,,,,,1,5060,12,1,1,1,14.657
,,,,,,,1,6664,0,2,1,0,13.901
,,,,,,,1,9050,0,2,1,0,12.001
,,,,,,,1,8802,16,3,4,0,8.529
,,,,,,,1,7865,3,1,1,1,19.609
,,,,,,,1,9012,0,4,1,6,12.349
3,2614,0,4,6,1,31,,,,,,,
3,3787,0,1,0,2,32,,,,,,,
3,4151,0,1,0,2,30,,,,,,,
,,,,,,,1,807,0,2,1,0,43.386
,,,,,,,1,698,0,1,1,6,19.079
,,,,,,,1,659,0,2,1,0,36.877
,,,,,,,1,726,0,2,1,0,16.925
3,3131,3,1,6,1,15,1,635,0,1,1,4,33.638
,,,,,,,1,1310,0,1,1,4,39.423
,,,,,,,1,1088,15,1,1,1,11.016
,,,,,,,1,682,7,1,1,1,17.769
,,,,,,,1,703,4,1,1,1,18.463
,,,,,,,1,1158,1,1,1,1,17.108
,,,,,,,1,174,12,1,1,1,17.603
,,,,,,,1,58,1,2,1,1,13.499
3,5523,17,1,1,1,29,,,,,,,
3,4747,1,1,1,1,17,,,,,,,
3,2512,0,1,0,5,30,1,2045,0,1,4,1,31.736
3,372,0,7,0,2,28,,,,,,,
3,6326,0,7,0,2,28,1,2000,0,1,1,1,34.059
,,,,,,,1,2665,0,2,1,0,36.727
,,,,,,,1,1599,2,1,1,1,19.823
,,,,,,,1,2023,0,2,1,0,36.011
,,,,,,,1,2226,0,2,1,0,31.405
,,,,,,,1,1779,1,1,1,1,16.903
,,,,,,,1,1764,0,2,1,0,31.338
3,2205,1,1,1,1,17,1,2364,0,1,4,4,37.198
3,315,16,4,0,3,35,,,,,,,
3,1698,0,1,1,1,20,1,2269,0,1,4,4,41.462
3,3192,0,4,6,1,26,,,,,,,
3,4616,0,1,0,2,24,,,,,,,
3,2600,1,1,2,1,12,,,,,,,
3,1933,0,4,0,2,31,,,,,,,
3,2560,0,4,0,3,29,,,,,,,
3,2559,0,2,0,4,34,1,2900,0,4,4,0,73.688
,,,,,,,1,3236,1,2,1,0,16.331
,,,,,,,1,2940,4,2,1,0,19.597
,,,,,,,1,3303,9,2,1,0,7.451
,,,,,,,1,3050,4,2,1,6,19.094
3,1934,0,4,6,1,29,,,,,,,
,,,,,,,1,2325,0,1,1,1,35.55
3,5165,4,1,6,1,15,1,1489,0,4,4,0,67.161
,,,,,,,1,1483,0,2,1,1,17.938
,,,,,,,1,2373,8,1,1,1,16.778
3,5084,0,1,0,2,29,,,,,,,
3,5083,0,6,0,3,31,,,,,,,
3,2272,0,4,6,1,42,,,,,,,
3,1817,0,4,0,3,40,,,,,,,
3,1819,1,1,0,5,44,1,5338,0,4,4,0,98.526
3,2182,0,1,1,1,22,,,,,,,
,,,,,,,1,9558,0,2,1,0,27.953
3,2025,0,4,6,1,30,,,,,,,
3,3725,15,1,1,1,23,,,,,,,
,,,,,,,1,2434,0,4,4,0,52.368
3,6131,0,1,1,1,11,,,,,,,
3,6470,0,5,0,3,37,,,,,,,
3,6013,0,5,0,5,37,,,,,,,
3,4188,2,6,0,2,33,1,4059,0,2,5,0,86.167
,,,,,,,1,4446,0,4,1,0,98.82
3,4189,0,1,6,1,16,1,4057,12,1,4,4,25.822
,,,,,,,1,4135,1,2,1,7,42.69
3,6166,0,4,4,1,36,,,,,,,
,,,,,,,1,3375,3,1,1,1,24.436
,,,,,,,1,2909,0,2,6,0,53.117
3,4477,1,1,6,1,20,1,3242,0,1,4,4,43.315
3,118,0,4,4,1,17,,,,,,,
3,2708,16,1,1,1,34,,,,,,,
,,,,,,,1,3976,1,1,1,6,15.139
3,3648,0,5,4,1,32,,,,,,,
3,4709,0,1,0,2,36,,,,,,,
,,,,,,,1,9117,1,1,1,6,23.157
,,,,,,,1,7323,1,1,1,6,22.133
,,,,,,,1,7097,1,1,7,1,21.254
3,3649,0,3,1,1,18,1,4619,0,1,7,3,37.338
,,,,,,,1,7250,1,1,7,1,18.748
,,,,,,,1,5093,0,3,4,0,69.329
3,535,0,1,1,1,16,,,,,,,
3,435,1,1,1,1,18,,,,,,,
3,3226,0,1,1,1,32,,,,,,,
,,,,,,,1,1467,0,3,4,0,66.179
3,3216,1,3,6,1,14,1,1824,0,4,4,0,71.075
,,,,,,,1,1939,0,1,1,4,39.67
,,,,,,,1,1386,2,1,1,6,18.821
,,,,,,,1,2289,14,4,6,0,16.643
,,,,,,,1,2621,0,1,1,1,19.036
,,,,,,,1,2694,17,3,1,0,14.306
,,,,,,,1,1397,10,4,3,1,30.659
,,,,,,,1,1486,14,1,1,1,12.39
,,,,,,,1,1430,0,1,1,1,6.646
,,,,,,,1,2237,0,2,1,1,18.424
3,6196,0,1,6,1,40,,,,,,,
3,1928,5,1,1,1,18,1,2047,0,4,1,0,75.445
,,,,,,,1,2518,0,1,1,1,21.889
,,,,,,,1,2056,0,2,1,0,40.701
3,5248,0,1,1,1,18,,,,,,,
,,,,,,,1,2065,0,1,1,1,42.729
,,,,,,,1,1792,0,1,4,1,41.108
3,1471,0,4,1,1,42,,,,,,,
3,144,0,5,0,1,34,,,,,,,
3,3180,0,1,6,1,19,1,1860,0,4,4,0,80.923
,,,,,,,1,2350,0,2,1,0,45.215
3,608,0,1,0,2,34,,,,,,,
3,2082,9,1,1,1,33,1,2569,0,1,4,4,70.909
,,,,,,,1,2119,16,1,1,6,40.213
3,4167,0,1,1,1,33,,,,,,,
,,,,,,,1,383,0,3,4,0,39.449
