OPE ID,School,State,Zip Code,School Type,Recipients,# of Loans Originated,$ of Loans Originated,# of Disbursements,$ of Disbursements
00281600,SIENA COLLEGE,NY,122111462,Private-Nonprofit,407,444,7775428,791,7775428
00281700,ST. BONAVENTURE UNIVERSITY,NY,147782284,Private-Nonprofit,312,372,4923951,599,4923951
00282000,SAINT FRANCIS COLLEGE,NY,112014398,Private-Nonprofit,348,396,3803306,762,3803306
00282100,ST JOHN FISHER COLLEGE,NY,146183597,Private-Nonprofit,517,533,9872626,986,9872626
00282300,SAINT JOHN'S UNIVERSITY,NY,114391343,Private-Nonprofit,2882,3098,65851349,5959,65851349
00282500,SAINT JOSEPH'S COLLEGE,NY,112053688,Private-Nonprofit,395,415,5492786,770,5492786
00282900,ST. LAWRENCE UNIVERSITY,NY,136171455,Private-Nonprofit,249,289,5184844,475,5184844
00283200,SAINT THOMAS AQUINAS COLLEGE,NY,109761050,Private-Nonprofit,271,274,3574126,523,3574126
00283300,SAINT VLADIMIRS ORTHODOX THEOLOGICAL SEMINARY,NY,107071699,Private-Nonprofit,-,-, -,-, -
00283400,EXCELSIOR COLLEGE,NY,122035159,Private-Nonprofit,2,3,25336,3,25336
00283500,STATE UNIVERSITY OF NEW YORK AT ALBANY,NY,122220001,Public,1816,2270,22128663,3964,22128663
00283600,BINGHAMTON UNIVERSITY,NY,139026000,Public,1171,1355,16651055,2447,16651055
00283700,STATE UNIVERSITY OF NEW YORK AT BUFFALO,NY,142600001,Public,1393,1746,17766356,2804,17766356
00283800,STATE UNIVERSITY OF NEW YORK AT STONY BROOK,NY,117940701,Public,713,907,9012469,1447,9012469
00283900,STATE UNIVERSITY OF NEW YORK DOWNSTATE MEDICAL CENTER,NY,112032098,Public,2,2,39580,4,39580
00284000,STATE UNIVERSITY OF NEW YORK UPSTATE MEDICAL UNIVERSITY,NY,132102375,Public,8,8,117138,24,117138
00284100,STATE UNIVERSITY OF NEW YORK COLLEGE AT BROCKPORT,NY,144202914,Public,569,669,5603234,1179,5603234
00284200,SUNY COLLEGE AT BUFFALO,NY,142221095,Public,693,824,6353738,1333,6353738
00284300,SUNY COLLEGE AT CORTLAND,NY,130450900,Public,804,867,9713960,1546,9713960
00284400,SUNY AT FREDONIA,NY,140631145,Public,505,600,4781528,958,4781528
00284500,SUNY COLLEGE AT GENESEO,NY,144541401,Public,533,556,6119343,1016,6119343
00284600,STATE UNIVERSITY OF NEW YORK AT NEW PALTZ,NY,125612499,Public,1074,1114,12156828,2047,12156828
00284700,"STATE UNIVERSITY OF NEW YORK, COLLEGE AT ONEONTA",NY,138204015,Public,742,777,8605222,1436,8605222
00284800,STATE UNIVERSITY OF NEW YORK AT OSWEGO,NY,131263599,Public,1331,1355,14411857,2546,14411857
00284900,STATE UNIVERSITY OF NEW YORK COLLEGE AT PLATTSBURGH,NY,129012681,Public,445,504,5032355,854,5032355
00285000,STATE UNIVERSITY OF NEW YORK COLLEGE AT POTSDAM,NY,136762294,Public,563,676,5487123,1182,5487123
00285100,SUNY COLLEGE OF ENVIRONMENT SCIENCE & FORESTRY,NY,132102778,Public,226,236,2490504,427,2490504
00285300,SUNY MARITIME COLLEGE,NY,104654198,Public,297,356,5529715,615,5529715
00285400,SUNY COLLEGE OF TECHNOLOGY AT ALFRED,NY,148029951,Public,477,558,5214089,897,5214089
00285500,STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT CANTON,NY,136171098,Public,586,598,5516256,1101,5516256
00285600,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT COBLESKILL,NY,120439986,Public,443,516,4845481,958,4845481
00285700,SUNY COLLEGE OF TECHNOLOGY AT DELHI,NY,137531190,Public,543,566,5192344,1032,5192344
00285800,STATE UNIVERSITY OF NEW YORK AT FARMINGDALE,NY,117351021,Public,181,200,1414478,384,1414478
00285900,SUNY COLLEGE OF AGRICULTURE & TECHNOLOGY AT MORRISVILLE,NY,134080901,Public,724,733,9392187,1408,9392187
00286000,ADIRONDACK COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,128041445,Public,70,80,514276,271,514276
00286100,CAYUGA COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGE,NY,130213099,Public,9,9,34092,16,34092
00286200,SUNY BROOME COMMUNITY COLLEGE,NY,139051328,Public,157,169,1572481,320,1572481
00286300,CORNING COMMUNITY COLLEGE - SUNY OFFICE OF COMMUNITY COLLEGES,NY,148303297,Public,43,43,296907,83,296907
00286400,DUTCHESS COMMUNITY COLLEGE,NY,126011595,Public,86,90,615778,173,615778
00286600,FASHION INSTITUTE OF TECHNOLOGY,NY,100015992,Public,586,683,11403804,1163,11403804
00286700,SUNY FULTON-MONTGOMERY COMMUNITY COLLEGE,NY,120953790,Public,52,56,292332,99,292332
00286800,HUDSON VALLEY COMMUNITY COLLEGE,NY,121806096,Public,64,66,446654,128,446654
00286900,JAMESTOWN COMMUNITY COLLEGE,NY,147020020,Public,87,96,549493,183,549493
00287000,JEFFERSON COMMUNITY COLLEGE,NY,136011897,Public,74,75,616458,146,616458
00287100,"SUNY,MOHAWK VALLEY COMMUNITY COLLEGE",NY,135015394,Public,125,142,850705,458,850705
00287200,MONROE COMMUNITY COLLEGE,NY,146235780,Public,110,113,724361,215,724361
00287300,NASSAU COMMUNITY COLLEGE,NY,115306793,Public,10,13,75744,20,75744
00287400,NIAGARA COUNTY COMMUNITY COLLEGE,NY,141329460,Public,73,86,430111,161,430111
00287500,ONONDAGA COMMUNITY COLLEGE,NY,132154585,Public,129,138,683886,277,683886
00287600,ORANGE COUNTY COMMUNITY COLLEGE,NY,109406441,Public,7,7,44887,15,44887
00287700,ROCKLAND COMMUNITY COLLEGE,NY,109013611,Public,12,12,72924,20,72924
00287800,SUFFOLK COUNTY COMMUNITY COLLEGE,NY,117842899,Public,20,20,75715,33,75715
00287900,SULLIVAN COUNTY COMMUNITY COLLEGE,NY,127595151,Public,37,46,263755,85,263755
00288000,ULSTER COUNTY COMMUNITY COLLEGE,NY,124840557,Public,4,4,25768,8,25768
00288100,SUNY WESTCHESTER COMMUNITY COLLEGE,NY,105951698,Public,17,18,60674,27,60674
00288200,SYRACUSE UNIVERSITY,NY,132442130,Private-Nonprofit,1549,1851,40761948,3327,40761948
00288300,UTICA COLLEGE- UTICA,NY,135024892,Private-Nonprofit,520,583,8361825,1049,8361825
00288500,ALBANY COLLEGE OF PHARMACY AND HEALTH SCIENCES,NY,122083492,Private-Nonprofit,94,105,2279881,203,2279881
00288600,ALBANY LAW SCHOOL OF UNION UNIVERSITY,NY,122083494,Private-Nonprofit,-,-, -,-, -
00288700,ALBANY MEDICAL COLLEGE,NY,122083479,Private-Nonprofit,-,-, -,-, -
00288900,UNION COLLEGE,NY,123082311,Private-Nonprofit,126,141,3244393,357,3244393
